term,Topic,Freq,Term
5031,6,0.0321215112969113,수요
4096,6,0.009715322599214541,부산
93,6,0.022746164443798886,12
7934,6,0.04017920915904691,지방
4627,6,0.0017021595601766039,서울
7727,6,0.06964801734129342,주간
6396,6,0.1379866983490122,월세
2621,6,0.011798866192541295,대비
6079,6,0.019217351393967113,영향
9246,6,0.15142481148806214,한국관광공사
8456,6,0.05138301578499136,축소
1330,6,0.09927341514773783,고수
349,6,0.01757551957912092,22
9091,6,0.10871447137056568,품목
5421,6,0.10329176101348254,심사위원
8504,6,0.023923249436768643,충남
1769,6,0.020842803392996316,규제
2888,6,0.11708689170412535,둔화
951,6,0.013650900094590065,강원
8809,6,0.03908090038919291,통일
465,6,0.04480644363832826,39
9182,6,0.31238926527331945,하락폭
112,6,0.014192872536696127,13
20,6,0.039011054140652784,09
1206,6,0.0198323081509848,경북
297,6,0.03053862274500979,2010년
17,6,0.04054368006462944,06
2681,6,0.0031719590896955845,대한
5027,7,0.37569510718133325,수애
2062,7,0.4028343219097135,김영광
2247,7,0.18210263289835837,남자
6283,7,0.07183338482763638,우리
6720,7,0.3387253052055662,이수혁
9573,7,0.32741887120860214,홍나리
7636,7,0.2942205319772415,조보아
6286,7,0.18402466047707774,우리집
6016,7,0.2625202261914592,연하
1293,7,0.2773702470401906,고난길
5516,7,0.19651787856949363,아빠
8724,7,0.16485072026972414,타임스퀘어
2079,7,0.29887991276763126,김정민
2904,7,0.07978419843072698,드라마
364,7,0.13223445420613833,24일
6410,7,0.20677655136703565,웹툰
6288,7,0.6201238160494379,우사남
6377,7,0.25427810251199845,원작
6402,7,0.1504019207854883,월화드라마
3036,7,0.1888673128098296,로맨스
3037,7,0.33341922834911064,로맨틱
7590,7,0.11043766043078256,제작발표회
5146,7,0.22244428054877646,스튜어디스
2815,7,0.2831574566077289,동명
1602,7,0.22969337025313558,구르미
5510,7,0.153890565532361,아모리스
2073,7,0.2744956568775389,김은정
2530,7,0.21813666083353575,달빛
3786,7,0.032256528082527415,방송
6053,7,0.1250958557136805,영등포구
7689,7,0.19411411157919617,족보
6170,7,0.0177772467644975,오후
3829,7,0.028687055788860345,배우
8655,7,0.10781814843262236,코미디
61,7,0.12420052528543615,10시
3565,7,0.2992872145895918,미스터리
8604,7,0.08143224214857749,캐릭터
6764,7,0.17508213582872387,이중생활
8368,7,0.043922784635212674,촬영
6809,7,0.059386158251677305,인기
9713,7,0.2277038493770921,후속
3362,7,0.027716285187643522,모습
6013,7,0.07067678884524686,연출
7118,7,0.042812796800447576,작품
1828,7,0.14099595999507195,극본
1985,7,0.006631643960855013,기자
5966,7,0.056245545239301135,연기
8481,7,0.029462110001525845,출연
4627,7,0.005883978956335807,서울
9491,7,0.0327892741168851,현장
1244,8,0.29813579788556543,경찰
9507,8,0.20427532263175008,혐의
5553,8,0.2494914375445376,아파트
1121,8,0.05439783818544487,것으로
1209,8,0.9671526501721118,경비원
6971,8,0.5559202181923762,입건
7637,8,0.09601974869699927,조사
2057,8,0.2970611029211388,김씨
5287,8,0.18255347344903178,신고
3721,8,0.11336431539465075,받고
7914,8,0.034105558081499406,지난
8431,8,0.5067980230164736,추락
6669,8,0.08301205250411903,이들
4064,8,0.4113398079758821,부검
8469,8,0.24286530822113006,출동
1619,8,0.3281730680981793,구속
2776,8,0.2662866299400314,돈을
1245,8,0.1964811103542248,경찰관
5002,8,0.1020241480634468,수사
3256,8,0.22304266102889028,머리
3945,8,0.14652025267835536,병원
9062,8,0.24809290553924107,폭행
4190,8,0.2967553491483554,불구속
7071,8,0.053362833374186854,자신
2240,8,0.12456631923298689,남성
4937,8,0.42481481412069566,손님
9468,8,0.2407933133123765,현금
4096,8,0.061366345177909724,부산
6170,8,0.022139985719813265,오후
4335,8,0.08050016443024008,사건
1985,8,0.011914046553864372,기자
1251,8,0.5200345615778369,경찰청
3846,8,0.3947922582117826,백남기
6510,8,0.37601897339771434,유족
2434,8,0.012489146340739337,뉴시스
1157,8,0.05928237790630309,결과
1102,8,0.1596344825916059,걸쳐
1890,8,0.012770223339006246,금지
7204,8,0.012838318102421678,재배포
800,8,0.23735998724113194,가로
